species,latitude,longitude,coordUncertainty_meters,elevation_m,year,notes
Daphne bholua,29.5,29.5,2000,2438,1984,coordinates rounded
Daphne bholua,28.3,28.3,,2300,1991,coordinates rounded
Daphne bholua,27.7,27.7,1500,2190,1975,coordinates rounded
Daphne bholua,27,27,2000,1433,,coordinates rounded
Daphne bholua,29.3,29.3,,1880,1984,coordinates rounded
Daphne bholua,29.2,29.2,,1600,1983,coordinates rounded
Daphne bholua,29.5,29.5,,1800,1983,coordinates rounded
Daphne bholua,28.1,28.1,4000,3070,,coordinates rounded
Daphne bholua,27.6,27.6,,2800,1994,coordinates rounded
Daphne bholua,28.5,28.5,4000,2300,1994,coordinates rounded
Daphne bholua,28.5,28.5,1000,2360,1994,coordinates rounded
Daphne bholua,28.3,28.3,4000,2300,1994,coordinates rounded
Daphne bholua,27.1,27.1,4000,2650,1967,coordinates rounded
Daphne bholua,26.8,26.8,,1615,1977,coordinates rounded
Daphne bholua,27,27,,2150,1977,coordinates rounded
Daphne bholua,26.8,26.8,2000,2650,1978,coordinates rounded
Daphne bholua,28.8,28.8,2000,1500,1991,coordinates rounded
Daphne bholua,29,29,4000,1300,1981,coordinates rounded
Daphne bholua,28.3,28.3,5000,1710,,coordinates rounded
Daphne bholua,28.2,28.2,,2300,1973,coordinates rounded
Daphne bholua,27.8,27.8,500,2525,1966,coordinates rounded
Daphne bholua,27.8,27.8,,2316,1970,coordinates rounded
Daphne bholua,27.8,27.8,500,2203,2018,coordinates rounded
Daphne bholua,27.6,27.6,,2286,1967,coordinates rounded
Daphne bholua,27.7,27.7,,1750,1975,coordinates rounded
Daphne bholua,27.6,27.6,3000,2286,1966,coordinates rounded
Daphne bholua,27.7,27.7,4000,2286,1966,coordinates rounded
Daphne bholua,27.6,27.6,500,2400,1986,coordinates rounded
Daphne bholua,27.7,27.7,3000,1900,1973,coordinates rounded
Daphne bholua,28.5,28.5,,2100,1979,coordinates rounded
Daphne bholua,29.5,29.5,2000,3000,2011,coordinates rounded
Daphne bholua,28.3,28.3,4000,1700,1991,coordinates rounded
Daphne bholua,28.5,28.5,1000,3000,,coordinates rounded
Daphne bholua,28.1,28.1,5000,1800,1974,coordinates rounded
Daphne bholua,27.9,27.9,5000,1420,1973,coordinates rounded
Daphne bholua,27.5,27.5,4000,2500,1988,coordinates rounded
Daphne bholua,28.1,28.1,,3200,1985,coordinates rounded
Daphne bholua,28.1,28.1,,2950,2001,coordinates rounded
Daphne bholua,28.2,28.2,,2420,1983,coordinates rounded
Daphne bholua,28.2,28.2,3000,2079,1977,coordinates rounded
Daphne bholua,27.8,27.8,,2750,2004,coordinates rounded
Daphne bholua,28.4,28.4,,1750,1982,coordinates rounded
Daphne bholua,27.9,27.9,,2500,1987,coordinates rounded
Daphne bholua,27.8,27.8,,1730,1993,coordinates rounded
Daphne bholua,28.5,28.5,,1670,1982,coordinates rounded
Daphne bholua,28.7,28.7,,2133,1975,coordinates rounded
Daphne bholua,29.4,29.4,4000,3000,1972,coordinates rounded
Daphne bholua,0,0,,,1820,coordinates rounded
